order_id,items
508,"774,4091,2157,8677,20227,11914,10567,10119,3,29128,4021,7653,27524,963,11091,1141,3054,978,27289,8118,18638,7887,3955,2061,17598,14746"
509,"3592,503"
510,13634
511,"1185,9614,757,5261"
512,"1755,11821,29312,2502,4417,1674,14447,28604"
513,"3255,17585"
514,"3073,13097,9283,1702"
515,10896
516,"3753,9635,993,555,6139"
517,"20549,2534,2995"
518,"8289,4265,9204,2544,12916,2769,3508,5287,10970,29322,938,1264,4714,10956,1249,2096,20063,17803,1255,5959,11067,5198,17358,28606,7943,2610,566,19971,3535,3533,3851,10002,1527,8173,4878,3460,3269,7023,29310,983,19092,17553,1392,28813,3313,11789"
519,"13243,29128,4250,11359,9611,7704,1949,2610,741,2151,5469,5487,1849,915,433,5570,5024,2389,2414,28870,874"
520,"28840,2422,10765,12959,2837,19478,2547,26970,4177,28898,1230"
521,8299
522,"19259,8181,3183"
523,6208
524,4105
525,1726
526,1263
527,"11198,1174,17460"
528,"5485,17531,658"
529,"12332,2632"
530,9971
531,12736
532,"10239,1225"
533,"18158,3299,19504,8344,2338"
534,"5538,3313,7870"
535,5591
536,3047
537,"8121,7603"
538,"17492,16055"
539,"5983,2065,968,3574"
540,"2547,13115"
541,13847
542,"2384,6249,10956,12816,1902,11656,954"
543,"4237,1470,20703"
544,1091
545,"13170,3657,5033,6081,10812,5485"
546,"8244,12283,20139"
547,28836
548,3269
549,9557
550,1406
551,7515
552,"3275,5248,7498,372,5600,6055,3508,27032,11198,5485,29128,7637,8182,4577,1403,17784,5228,13138,5590,3242,13050,20914,685,614,3993,2915,5775,4354,17698,7283,1973,11046,1667,5356,11596,29279,1615,1809,9532,5026,624,29274,2964,6009,6422,3857,3313,2627,7945"
553,"20544,13969"
554,17431
555,18271
556,7637
557,3720
558,"20459,29168"
559,9799
560,"28,71"
561,"3329,3425,17887,6398,5274,6135"
562,627
563,"5576,2662,3249,3435,10803,21738,1400,7827,5062,12994,905,3966,7588,7880,18315,3525,3499,2890,18448,11047,14913,5227,27406,12030,12415,2627,12174,5163,29173,1505,4273"
564,2432
565,2750
566,"5959,29298,2296,12012,1274,1608"
567,8356
568,"7793,6741,1306"
569,20428
570,"943,5350,9703,3372,8438,11918,2834,11298,8358,29323,2459,8,4287,9735,5820,4980,10893,11313,2632,21168,4672,1123"
571,"1269,6254"
572,4962
573,1627
574,6809
575,"8897,3737,12382,4547,5216,3414,2004,18201,2415,20739,17454,9987,1915,3279,5409,20759,3313,17460,29172,4500,13959,1572,2228,7433,1617"
576,428
577,13508
578,21965
579,"14746,5317,2359,7444,3381,1240,5857"
580,5323
581,11458
582,5326
583,1909
584,3831
585,"9949,10706,7810,1392,6181,630,6509,27041,3720,4732,6443,11007,13209,1819"
586,4956
587,"27391,7540,7083,18856,13739,1372"
588,"5709,12190"
589,20826
590,"12017,3824,9641"
591,"10323,9661,1592,3133,3657,9226,3478"
592,"7460,18000,29299,7263,11400,4432,4283,18079"
593,10728
594,"7859,4478,8640,1711,5350,12398,10951,1418,4672,2129,2631,8062,19468,21225,4311,5228,1549,5594,625,12276,489,14441,7827,17394,3509,11264,468,2158,5144,1241,1207,1287,10596,27422,330,625,9682,19660,29308,19579,13143,19307,2065,13530,8633,16020,17536,13265,4904,1059"
595,"14638,5976,29169,2416,21804,1604,17784,19360,4000,8252,4705,537,1587,27092,13847,1296,6384,10239,3970,6542,1396,1078,1809,19897,7332,8640,1009,7172,3626,11789,17451,3723,6300,2349,9289,8293,3255,3299,98,13091,8252,4462,14012,2971"
596,10847
597,"17813,7358,2605,2358,1077,29326,5142"
598,2507
599,"6504,7325,1101,1556,937,6864"
600,"1266,20549,7344,5827,19811,27102,5259,4679,13175,9453,17654,11337,12816,2105,27106,6127,4204,10014,6309,5424,4904,1273,29326,2023,3370,10970,9759,1229,12736,5261"
601,"7023,13133,12056,14085,29322,3164,5574,16037,19307,2005,9592,3673,2607,491,29352,9804,2987,5009,1364,7891,8355,8577,2897,13977,7374,17566,9784,5534,29334,3753,1168,4887,3582,18025,20914,4964,2678,4917,23796,1449,5749,4355,8449,1994,1231,3023,1994,5728,7870,6125,7921,16020,12573,12626,4423,19051,1947,19429,1130,4630,28735,21902,3313,13041,13582,3313,2304,1231,28773,2847,6406,5350,3402,5405,10631,4935,6249,29335,8743,20732,3606,2049,2947,4154,2931,5321,6067,2678"
602,2107
603,11948
604,1271
605,3321
606,2632
607,"19869,8289"
608,5881
609,992
610,"20968,5083,8517,12382"
611,"12481,3726,1848,6058,7988"
612,"19075,3862,7302,10882,1013"
613,4355
614,"28607,2847,3031,1950,13170,28875,27042,9773,4635"
615,4072
616,2507
617,"14010,7495,8297,5476"
618,"29310,22061,1527,5228,8449,5667,13154,2340,516,1120,246,4885,5584,17304,5258,10229,4486,542,17709,1396,7714,5601,17668,3669,1433,18770,18975,8048,4519,6588,5410,2574,8153,4817,29323,3875,19839,10228,9257,3783,560,17658,6446,17932,9744"
619,"1738,958,2678,5254,2921"
620,4883
621,"27391,6688,7508,14744,1261,2669,5404,8762,7446,2620,9973,31,2983,5513,1297,3719,17731"
622,17963
623,4524
624,"20286,3076"
625,9398
626,"3535,27435,27398,1129,21933,2379,9422,9337,1409,21445,1679,3727,27389,2586,9579,5323,1488,112,16045,18571,1099,19864,19461,9507,11089,6191,6092,739,1982,1190,6406,4973,19036,19822,20952,3626,919,7954,7603,26972,11161,19809,3072,17966,7048,13018,29168,1027,2983,29252"
627,5259
628,2796
629,5582
630,27109
631,17388
632,"13045,19735,20003,1052,3408,10215,822,1755,5522,1360,6054,27034,19382,18701,1013,1409,2416,2390,1526,27459,11982,7319,10748,590"
633,3501
634,"7314,996,3178,27042,8216,5456,1161"
635,"1261,19675"
636,"897,5459,7666,125,11,477,4268,20254,6512,12950,10951,10604,637,1415,5558,13237,1107,3640,2004,5601"
637,"9164,11163,440,4805,2459"
638,3435
639,16030
640,"412,10903,323"
641,0
642,6184
643,7292
644,"5350,4956,8470,1317,7448,17492,10323,1099,1192,1168,3382,4014,18779,1688,460,7737,2459,2574,7495,946,475,247,29265,11949,10308,2605,3878"
645,"5395,607,2853,14846,20150,12418,29240,6703,2580,1442,976,20937,6370,19107,6784,1141,5944,562,12476,20905"
646,"1760,1343,1151,14445,18665,1712,2891"
647,"9657,4462,5355,17437"
648,21964
649,"8628,549"
650,3834
651,"1159,477,7794,723,5530,20400,27402,7904,3475,2038,9971,3246,13505,21308,29101,1895,2853,13969,6769,1255,18372,18345,2534,18100,6935,5959,458,5759,4412,18863,1182,7960,5421,5327,9095,20384,5485,5576,564,7066,1872,11164,4647,1531"
652,"21801,102,10038,20351"
653,"13266,1057"
654,8210
655,625
656,28608
657,"18551,1333,17549,1278,3533,6223"
658,3255
659,"19263,13133,11411,2014"
660,1378
661,3031
662,4285
663,4723
664,2061
665,19764
666,4631
